ID	Drinks	Size
1	Lots	Fat
2	*	Fat
3	Lots	Thin
4	Lots	Thin
5	None	Fat
6	None	Thin
7	Lots	Fat
8	Little	*
9	Lots	Fat
10	Little	Thin
11	None	*
12	Lots	Fat
13	Lots	Thin
14	Little	Fat
15	None	Thin
16	Lots	Thin
17	Lots	Thin
18	Little	*
19	Lots	Thin
20	None	Fat
21	*	Thin
22	Lots	*
23	None	Fat
24	None	Thin
25	None	Thin
26	Lots	Thin
27	None	Thin
28	Lots	Thin
29	None	Fat
30	*	Fat
31	*	*
32	Lots	Thin
33	*	Fat
34	Little	Fat
35	Little	Fat
36	None	Fat
37	Lots	Fat
38	Lots	Thin
39	Little	Fat
40	Lots	Thin
41	*	*
42	*	*
43	None	Fat
44	Lots	Thin
45	*	Thin
46	None	Fat
47	Little	Fat
48	*	*
49	Little	Fat
50	Lots	Fat
51	Lots	Thin
52	None	Thin
53	Lots	*
54	None	Thin
55	*	Thin
56	None	Thin
57	Lots	Thin
58	Lots	Fat
59	*	Thin
60	Little	*
61	Lots	Thin
62	Little	Thin
63	Lots	Thin
64	None	Thin
65	Little	Fat
66	Lots	Fat
67	*	Thin
68	Little	Thin
69	Little	Fat
70	None	Fat
71	Lots	Fat
72	None	Thin
73	Little	Thin
74	Little	Fat
75	*	Fat
76	Little	Fat
77	None	Fat
78	Lots	Fat
79	None	Thin
80	None	Thin
81	None	*
82	Lots	Fat
83	*	*
84	None	Fat
85	None	Thin
86	Little	Fat
87	None	Thin
88	Lots	*
89	None	Thin
90	None	Fat
91	Lots	Fat
92	Little	Thin
93	Little	*
94	None	Fat
95	None	Thin
96	Lots	*
97	Little	*
98	None	*
99	*	Thin
100	*	Thin
101	Lots	*
102	None	*
103	None	*
104	*	Thin
105	*	*
106	Little	Fat
107	*	Thin
108	Little	Fat
109	*	Fat
110	Lots	Thin
111	Lots	Thin
112	Lots	Fat
113	Little	Thin
114	*	Thin
115	Lots	Thin
116	None	Fat
117	Lots	Fat
118	Little	*
119	Lots	Thin
120	Lots	*
121	Little	Fat
122	Little	Fat
123	None	Fat
124	Little	Fat
125	None	Thin
126	Lots	Fat
127	Little	Fat
128	Lots	Fat
129	None	Thin
130	Lots	Thin
131	None	Fat
132	Lots	Thin
133	Lots	Fat
134	Lots	Thin
135	Little	Fat
136	None	Fat
137	None	Thin
138	*	*
139	*	Thin
140	Little	*
141	*	Thin
142	Lots	*
143	Lots	*
144	*	Thin
145	Little	Fat
146	*	Thin
147	Lots	Thin
148	*	Fat
149	*	Fat
150	Little	Thin
151	Lots	Thin
152	*	Thin
153	*	Thin
154	Little	Fat
155	*	Thin
156	Little	Fat
157	Lots	*
158	Little	*
159	*	Fat
160	Lots	Thin
161	None	Thin
162	*	Thin
163	*	Fat
164	Little	Fat
165	Little	*
166	*	Fat
167	None	*
168	None	Fat
169	None	Fat
170	None	Fat
171	Lots	*
172	*	Thin
173	Little	Fat
174	None	Fat
175	Little	Thin
176	Little	Fat
177	Lots	*
178	None	*
179	Lots	Thin
180	None	Fat
181	Lots	Fat
182	Lots	*
183	Little	Thin
184	Little	Thin
185	Little	Fat
186	Lots	Thin
187	Lots	Thin
188	None	*
189	Lots	Thin
190	Little	*
191	Little	Fat
192	None	Fat
193	*	Fat
194	None	Thin
195	Little	Fat
196	Lots	Thin
197	Little	Fat
