class stalk_root stalk_surface_below_ring population gill_attachment cap_shape cap_surface gill_color spore_print_color bruises habitat stalk_color_above_ring ring_type cap_color odor gill_spacing gill_size stalk_shape ring_number stalk_color_below_ring veil_type
w e s w n e k b e n c s t y t f c e w w e
g e s n a e f b p w n s o s t f c n w w w
g t f k n e f b e g a s o s f f w p w w w
g t f k n p f b p w s s o y t f w p w w w
g t s k n e f b e n n k o f f f w n w w w
d t s k n e x b p n v s o f t f c n w p w
g e k w n e x b e g a s t f t f c g w g w
p t k w y p x n e n v s o s f f c b w p p
d t s k n e x b p n v s o y t f c n w w p
d t s w y p x n e n v s o y f f c b w w p
m e s k l e b b e e n s o y t f c r w w y
g e s w n e b b e g s s t f f f w k w w w
d t s n n e x b p n y s o f t f c w w g g
g e s n a e x b p w s s o f t f c u w w w
p e k h f p x b l g y k o f f f c h w w b
d t s w y p x n e n v k o y f f c b w w p
g e s k l e f b p y s k o y t f c k w w w
d t s k n e f b p g v s o y t f c n w g w
d e s h f p x b l y v k o y f f c g w p b
p e k h f p f b l g y k o y f f c p w p b
g e s n a e x b p y y y o y t f c w w w w
u e s n n e x n p n y s o f f f c k w w w
p e s k l e x b p n y s o g t f c w w w w
d t s u l e f n p w v s o s t f w u w w g
d t s n n e f b p e v s o f t f c n w w g
d t s n n e x b p g y s o y t f c p w w p
l t k w f p x n e e v k o s f f c b w w w
p e k h f p x b l g v k o f f f c g w p b
d e s h f p x b l y v k o y f f c g w p b
p e k h f p f b l g y k o y f f c p w p p
g t f h f p x b p g s s o s t f c k w w w
p e k h f p x b l g v k o f f f c h w b n
d t s n n e f b p n v s o y t f c u w w p
p e k h f p f b l g v k o y f f c h w b n
d t s n n e x b p g y s o y t f c n w w w
l t s w f p k n e e v k o s f f c b w w w
d t s k n e x b p g v s o f t f c p w p g
p t s w f p k n e n v k o y f f w b w p p
g e k w n e k b e g s f t y f f w y w w w
l t k w f p x n e n v s o s f f c b w w p
g t f n n e x b p g s y o g t f w e w w w
l t s w s p f n e n v k o y f f c b w p n
l t s w f p f n f n v s o s t a c u w p c
p t k w s p k n e e v s o y f f c b w n w
d t s w s p k n e e y k o y f f c b w w p
p e k h f p x b l y v k o f f f c b w n b
g e s w n e x b e g s s t s f f w b w w w
d t s w y p x n e e v k o s f f c b w p p
p t s w f p f n e n v s o s f f c b w p w
d t s n n e f b p e y s o y t f c p w g w
d t s k n e x b p e y s o y t f c n w g w
g e k h f p x b l y v k o y f f c p w p b
d e s n c p f n p g v s o s f f w n w w p
p t k w y p k n e e v s o s f f c b w n w
d t k w s p k n e e v s o s f f c b w p w
d t s n n e x b p e y s o y t f c p w p w
d e k h f p x b l g v k o y t f c g w b p
d t s w y p x n e n v k o y f f c b w w w
p t s w y p k n e n v s o y f f c b w w w
w e s w n e x b e n c s t s t f c w w e e
d e k h f p x b l g v k o y f f c g w p p
g t f n n e x b e w s f o f f f w h w w w
d t k w s p x n e n v s o s f f c b w w p
l t s w y p k n e e v k o s f f c b w p p
d t s n n e x b p n y s o f t f c w w p g
g t f n n e x b e w s f o f f f w h w w w
d t s k n e x b p e v s o y t f c w w p w
d t s n n e f b p n y s o f t f c u w w p
d t s k n e f b p g v s o f t f c p w g w
d t s w y p k n e e v k n s f f c o w p w
g t f n n e x b e n s f o s f f w n w w w
g e s n l e x b p y s y o y t f c n w w w
g e k h f p f b l g y k o f f f c g w p b
d t s w y p x n e e v s o y f f c b w w w
g e k h f p x b l y y k o y f f c g w b b
g e s n l e x b e c y y o s f f c k w w w
d e k h f p f b l y y k o y f f c p w n n
g e s w n e b b p g a y t y f f w w w w w
l e s o n e x b p n c s o s f f c n w c o
p e k h f p x b l g y k o y f f c h w p n
u e s n p p x n p w c k o s t f c p w w w
d t s w f p f n e e y y o s f f w b w w w
w e s w n e k b e b c s t s t f c w w e w
l t s w f p x n e n v k o y f a c b w p p
d t k w f p f n e n v k o s f f c b w n w
d e k w n e k n e n y y o y f f w b w y p
l t s w s p x n e e v k o s f f c b w w w
p e k h f p x b l y y k o y f f c p w p p
d t s k n e x b p g v s o y t f c w w p w
d t k w f p f n e n v s o s f f c b w p p
d e k h f p f b l y y k o f f f c p w p p
d t k w s p k n e e v s o y f f c b w p p
g e k w n e k b p g n k t f f f w p w w w
g t f k n e x b e w n y o g f f c u w w w
g e s k a e b b p y y y o y t f c p w w w
p e k h f p x b l g y k o y f f c p w b p
d t s k n e f b p g v s o y t f c w w p g
p t s w f p x n e n v k t s f f c k w p w
d e k w m p f b n c c y o s f f c y w p c
l t s w f p f n e e v s o y f f c b w w p
d t s n l e f n p w v s o s t f w w w w w
g t f k n e x b p g n s o f t f w k w w w
g e k h f p x b p w y f o f f f c p w b w
p e k h f p f b l y v k o f f f c p w w b
g t s h f p f b p b v s o s t f c w w w w
u t f h f p f b p w v f o s t f c p w w w
d t s n n e f b p g y s o y t f c w w w p
d t s k n e x b p n y s o f t f c p w p w
l e s o n e x n p n c s o s f f w o n o o
d t k w y p k n e n v s o y f f c b w w p
g t f k n e f b e g a f o f f f w h w w w
d t s n n e f b p g v s o f t f c u w w w
d t s n n e x b p n y s o f t f c u w w p
p e k h f p f b l y y k o y f f c p w p n
g e s n a e x b p w s k o y t f c n w w w
g e s k p p f n p w v s o f t f c y w w w
g e s n a e x b p y n s o y t f c n w w w
d t s k n e f b p e y s o y t f c u w p w
w e s w n e f b e b c s t s t f c w w w w
g t s h f p f b l y y k o y t f c h w w n
g t s n n e x b e w a s o y f f w p w w w
g t f n n e f b e n s f o f f f w n w w w
g e s r n e b b p g a k t s f f w p w w w
d e k h f p f b l y v k o y f f c p w w n
g e s k l e x b p y s s o s t f c p w w w
d t s n n e x b p n y s o f t f c w w g g
d t s n n e f b p e y s o y t f c u w p w
g t f k n e x b e w a s o s f f w h w w w
d t s k n e x b p e y s o f t f c n w p p
g t s k n e x b e g s f o s f f w k w w w
g t s k n e f b e n n f o s f f w p w w w
m e s n l e x b p w s s o s t f c k w w w
d t s k n e f b p g y s o y t f c u w w g
d t s k n e x b p g y s o f t f c w w w p
g e k h f p x b l y y k o y f f c h w p n
p t s w y p x n e n v s o y f f c b w p p
d t k w s p x n e n v s o y f f c b w p w
d e k h n e f n f w y f o y f f c u w p w
d t s w y p x n e e v s o s f f c b w w w
d t s n n e f b p g y s o f t f c w w g w
p e k h f p x b l g v k o f f f c p w n p
g t f n n e f b e n s f o s f f w n w w w
u e s k n e s n p n v s o y f f c k w w w
d t s n n e f b p e v s o y t f c w w w p
l t s w y p c n e n v s o y f f c b w p p
d t s n n e f b p e v s o y t f c u w w w
g t s k n e x b p g a s o f t f w w w w w
d t s n l e f n p w v s o s t f w w w w g
w e s w n e f b e p c s t y t f c w w e w
p e k h f p f b l y v k o f f f c p w w n
l e s w n e f n n e c s o y f a c y n o n
l t k w s p x n e e v s o s f a c b w w p
g e k w n e b b p w s k t s f f w w w w w
p t s w f p f n e n v k o y f f c b w w p
g e k w n e b b p g n s t s f f w g w w w
d e k h f p f b l y y k o y f f c h w n p
g t s k n e x b p g a s o s t f w p w w w
g e s r n e f b p g a k t s f f w w w w w
g e s r n e f b e w n y t f t f w b w w w
d e s h f p f b l g v k o f f f c g w p p
d t s k n p x b p e y y o y t f c w w w g
g e s w n e k b e n s f t s t f w b w w w
g e k h f p x b l y y k o f f f c g w p p
l t s w f p x n e e v k o y f f c b w p p
g e s k l e x b p y n s o s t f c p w w w
p t k w f p k n e n v k o y f f c b w w w
g t f k n e f b e n s s o s f f w p w w w
g e k h f p x b p w s s o f f f w g w b w
g e s k l e f b p y s s o y t f c w w w w
d e k h f p x b l g v k o y f f c p w p n
g e k w n e x b e w n s t f t f w n w w w
d t s k n e x b p e v s o f t f c w w w p
p t s w y p f n e e v k o s f f c b w w p
d t s n a e x b p w v s o f t f w w w g g
d e s k c p f n p g s s o s f f c g w w w
g e k h f p f b l g y k o f f f w h w b b
g e k w n e c b e g a s t s f f w r w w w
d e k w m p x b n e c y o g f f c r w w c
g e k h f p x b p w v s o s t f c w w b w
l t s w y p f n e e v s o y f a w b n o p
w e s w n e k b e p c s t s t f c w w w w
d t s n n e f b p n v s o y t f c n w w g
p e k h f p x b l g y k o f f f c p w b p
d t k w s p k n e e v k o s f f c b w w w
p t s w y p x n e n v k o y f f c b w w p
l e s o n e f b p n c s o s f f c n o o o
d t s k n e x b p g v s o f t f c p w p w
d t s k n e x b p n y y o s t f c g w w p
d t s k n e x b p e y s o f t f c w w g p
d t s n n e f b p n y s o f t f c w w w g
w e s w n e x b e b c s t s t f c w w w e
d t s k n e x b p n y s o y t f c w w p g
d t s k n e f b p g y s o f t f c u w w w
d t s n n e x b p n y s o y t f c w w w g
g e s k a e f b e p s f o y t f c u w w w
w e s w n e k b e e c s t y t f c e w w w
d e k h n e x n f w y f o y f f w h w o w
g t f k n e x b e g a f o f f f w n w w w
g t f k n e f b p g s s o s t f w p w w w
l e s o n e k b p n v s o s f f w n w g o
d t s k n e f b p g y s o f t f c p w p g
l e s n n e b b p n v s o s f f w o n o o
p t k w y p f n e n v s o y f f c b w w w
d e y w m p k b n c c y n y f f c y w y c
g e k w n e k b e n s f t g f f w e w w w
m e s r n p f b p p v s t y t f w r w w w
g t f k n e x b e w s s o y f f w r w w w
d t s n n e f b p e y s o f t f c n w p w
d e k h f p x b l y y k o y f f c g w n b
g t f n n p b b e g s s o s f f w n w w w
d t s u a e x n p w v s o f t f w p w w p
g t f n n e x b e n s f o f f f w p w w w
d t s k n e x b p g v s o f t f c n w p p
m e s n a e x b p y s s o y t f c k w w w
g e k w n e k b e n s s t f t f w h w w w
g t s k n e f b p g s s o f t f w y w w w
p t s w s p x n e n v s o s f f c b w w p
g e s n p p x n p w s s o y t f c k w w w
d t s n n e x b p n v s o f t f c p w g w
l t k w y p f n e n v k o s f f c b w w w
w e s w n e x b e p c s t s t f c e w w w
d t k w f p f n e e v k o s f f c b w n w
l t k w f p k n e n v s o y f f c b w w w
l e f w n e f n e y c k o f f a w w w w p
g e s k a e x b p y s s o s t f c g w w w
p e k h f p x b l g y k o y f f c p w p b
g t s n n e f b p b a f o s f f w k w w w
d e k h f p x b l y v k o y f f c h w p b
d t s k n e f b p e v s o y t f c u w w p
d t s w y p f n e e v s n y f f c r w w w
u t s h f p x b p w v s o s t f c p w w w
w e s w n e k b e n c s t s t f c e w w w
g t s h f p f b l y s s o s f f c g w w p
d e k h f p f b l y y k o y f f c p w b b
l t s w y p k n e e v s o y f f c b w w n
d t s n n e x b p g y s o f t f c p w w g
p t s w f p f n e n v k o y f f c b w w p
w e s w n e x b e n c s t s t f c y w w w
d t s n n e x b p n v s o y t f c w w g g
m e s k a e b b p w n s o s t f c g w w w
g e s r n e f b e g a s o s f f w k w w w
w e s w n e x b e n c s t s t f c w w w e
d t s k n e x b p e v s o f t f c p w w p
d t s k n e f b p e y s o y t f c w w p w
d t k w f p x n e n v k o y f f c b w w w
d t s n n e f b p n y s o y t f c u w w g
p t k w f p f n e e v k o s f f c b w p p
p t s w y p f n e e v k o s f f c b w p p
d t s n n e x b p n v s o f t f c u w w g
g t f k n e x b p w s s o y t f w n w w w
d t k w s p f n e n v k o y f f c b w w w
d t s n n e x b p g y s o y t f c u w w w
p t k w f p k n e n v k o y f f c b w w w
d e k h f p x b l y y k o f f f c g w n p
g t f n n e x b p p a k o y f f w w w w w
d t s n n e x b p e y s o y t f c u w p w
u e s k p p f n p w c k o f t f w g w w w
p t k w f p x n e e y y o f f f c k w p w
g t f n n e x b p g v y o g f f c g w w w
l t k w f p x n e n v s o s f a w b w w p
g e s k l e x b p w n s o s t f c n w w w
d t s n n e x b p n v s o y t f c u w w g
d e k h f p f b l y v k o y f f c h w n n
u t s h f p x b p w v s o g t f c n w w w
l t s w f p k n e n v s o s f a c b w w p
g t s k n e x b p g a y o g t f w g w w w
p e k h f p f b l y y k o f f f c g w w p
g e k h f p x b p g v s o s t f c p w b w
d t s w y p f n e e v s o y f f c b w w w
l t k w f p k n e n v s o y f a c b o g w
d e k w n e x n f r v f o y f f c u w e w
d t s w f p f n e e v s o s f f c b w w p
d e k h f p x b l g v k o f f f c h w w b
p t s w s p k n e e v k o s f f c b w p w
d e k h f p x b l g v k o y f f c g w w b
p e k h f p x b l g v k o f f f c h w p b
p e k h f p x b l g v k o y f f c p w p p
d t s w y p k n e e v s n f f f c g w w p
g e s r n e f b e g s s t f t f w o w w w
d t s n n e f b p e v s o y t f c n w p p
g t s h f p x b l y y k o y f f w p w w n
g e s k l e f b p w n k o f t f c e w w w
g e s n l e x b p w n s o f t f c r w w w
p t s w y p k n e n v k o y f f c b w p w
d t s k n e f b p e v s o y t f c n w w w
d t s n n e x b p n y s o y t f c u w g g
d t s n n e x b p g y s o f t f c g w w w
g t f h f p f b l g v k o f f f c g w w n
d t s n n e f b p n y s o f t f c p w w w
l t k w y p k n e n v k o s f a w b o b w
w e s w n e f b e b c s t s t f c w w e w
d t s k n e f b p g v s o f t f c n w g w
d t s n n e x b p n v s o f t f c w w w w
d e k h f p x b l g y k o y f f c h w n b
u e s n n e f n p g y s o f f f c k w w w
g e k w n e b b p g n s t f f f w g w w w
p e s w n e k b p c y y o s t f c n w w w
d t s u a e f n p w v s o f t f w n w w w
m e s r n p b b p p v s t y t f c r w w w
p t s w y p f n e n v k o y f f c b w p p
d e k w y p f n e n v s o y t f c b w b p
